Date,Latitude,Longitude,Pollen_Type,Pollen_Count,Temperature,Humidity,Wind_Speed,AQI
19-11-2023 15:00,12.60105688,77.23633167,Weed,996,33.12456485,73.495419,5.517626657,88
14-08-2023 12:00,12.23463706,77.45322429,Tree,649,23.62420786,88.18730418,5.278121319,259
05-07-2023 00:00,12.3532832,77.27381321,Tree,185,39.64196262,59.25924544,5.31653582,233
07-09-2023 08:00,12.88644126,77.32804447,Grass,936,31.25513087,75.6651204,9.704498858,276
25-02-2023 15:00,12.79441191,77.58837606,Grass,99,31.14265836,89.07767715,2.811675231,243
11-10-2023 06:00,12.64014558,77.90626011,Grass,71,32.36044239,75.64649791,4.284381058,204
04-09-2023 17:00,12.22377972,77.89891511,Grass,203,28.41604692,63.36577246,9.115069521,113
31-03-2023 16:00,12.04794198,77.9631918,Weed,311,37.96059482,84.87742775,0.05539671,122
30-10-2023 23:00,12.25501576,77.29102275,Weed,459,31.63314902,82.32521993,8.266920066,282
17-01-2023 07:00,12.56197184,77.56011176,Tree,777,39.36144297,32.5951188,5.77387431,161
09-02-2023 22:00,12.33495051,77.04572599,Weed,183,38.02620466,55.41505872,9.027904233,124
10-01-2023 02:00,12.96718681,77.80352826,Tree,126,27.30602173,78.05533866,6.499959226,274
28-01-2023 02:00,12.8161996,77.66121579,Tree,319,26.53036425,52.69822788,3.982656347,209
28-07-2023 00:00,12.10377192,77.72112321,Grass,557,22.48753855,70.1260599,8.444407369,107
02-08-2023 16:00,12.90909638,77.81542813,Tree,717,24.01530213,60.91728516,8.462171877,166
27-04-2023 19:00,12.73528294,77.72953151,Grass,769,38.04131941,76.77184514,5.96531762,199
22-11-2023 03:00,12.4836577,77.59675071,Grass,429,26.29589244,86.78287842,7.242013391,139
07-01-2023 19:00,12.55172881,77.82451611,Weed,894,28.3965617,52.48564767,4.404203764,152
04-05-2023 15:00,12.67004923,77.49046199,Grass,305,35.49199063,52.46322891,5.15000477,257
01-12-2023 17:00,12.37290026,77.51088294,Grass,452,26.72169995,80.92010908,2.727154732,192
02-06-2023 10:00,12.34912982,77.56834896,Weed,251,20.77523514,84.60608468,5.760029991,86
19-05-2023 00:00,12.42572706,77.40014107,Weed,720,29.94349145,60.59905287,1.779139641,282
05-06-2023 02:00,12.93753351,77.72309671,Weed,942,28.58183363,69.3757325,3.286313638,273
10-10-2023 13:00,12.83095595,77.75155152,Weed,821,30.02741107,41.07454527,2.497933194,298
22-03-2023 22:00,12.63709041,77.85511282,Weed,207,33.17631037,71.67641313,1.080090433,75
15-03-2023 07:00,12.18222661,77.51664327,Weed,69,38.5786606,41.49226732,2.769392597,113
08-02-2023 12:00,12.26790685,77.10040052,Tree,90,38.42080611,79.0533378,4.218338486,130
25-10-2023 12:00,12.97285925,77.74376949,Tree,302,26.42758018,45.88546632,7.041690765,68
26-06-2023 04:00,12.87945029,77.96602836,Tree,444,34.92259643,49.38267608,5.753241684,104
18-04-2023 13:00,12.46449141,77.66107529,Weed,962,23.56213847,68.95762964,8.355041677,171
11-09-2023 01:00,12.29180219,77.66058861,Tree,401,22.86674793,86.04727645,4.839689409,114
31-03-2023 12:00,12.28415798,77.40782685,Tree,921,36.09805713,88.20195619,6.25119984,87
27-04-2023 14:00,12.47632637,77.07903034,Grass,470,26.4809173,32.46054763,1.803516883,232
30-12-2023 11:00,12.62261437,77.57253278,Tree,523,28.72592755,66.03420966,9.725427884,109
14-10-2023 10:00,12.53008481,77.30979534,Tree,927,20.96223943,87.0083727,9.255924357,73
17-10-2023 10:00,12.54490349,77.30453326,Grass,662,26.06835796,42.98604716,5.823271455,208
23-01-2023 08:00,12.73734246,77.23864226,Grass,149,35.78336954,81.85880719,1.305384631,247
